221	Benignus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
223	Benjamin	Semitic (Hebrew)	male	given name	import from Matrikels2-0_PublicationVersion_20230816
224	Benno	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
227	Berdonius	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
229	Brynach	Celtic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
230	Bernardinus	Germanic and Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
231	Bernhard	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
232	Berthold	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
234	Bertulf	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
235	Bertinus	Germanic and Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
236	Bertram	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
237	Bertrand	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
238	Bertylandus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
239	Bernward	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
241	Beterus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
242	Betranius	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
243	Betsmannus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
244	Betzardus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
245	Beyerus	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
246	Biso	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
247	Bitterus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
248	Blankhard	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
249	Blancus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
250	Blasius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
251	Blaswelle	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
252	Blieck	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
