668	Gardianus	Germanic	male	given name
669	Gaston		male	given name
671	Gatij		gender-neutral	family name
672	Gatthovius	Germanic?	male	given name
673	Gaudentius	Latin	male	given name
674	Gaudentius		male	given name
675	Gaudius		male	given name
676	Gaugericus	Germanic	male	given name
677	Gauricus	Romance?	male	given name
678	Gauto	Germanic	male	given name
679	Gelasius		male	given name
680	Gelaudinus	Germanic? and Latin	male	given name
681	Gelercus	unknown	male	given name
682	Gellus		male	given name
683	Gildemar	Germanic	male	given name
684	Gelonus	unknown	male	given name
685	Geltetus	unknown	male	given name
686	Jemme	unknown	male	given name
687	Gendulphus	Germanic	male	given name
688	Genebrardus	unknown	male	given name
689	Genesius		male	given name
690	Geneviers	Celtic	female	given name
691	Genovefa	Germanic or Celtic	female	given name
692	Geordius	unknown	male	given name
694	Geotus	unknown	male	given name
695	Gerald	Germanic	male	given name
696	Gerard	Germanic	male	given name
697	Gercon	unknown	male	given name
698	Gerelinus	unknown	male	given name
699	Gerenus	Germanic?	male	given name
700	Gereon		male	given name
701	Gerindus	unknown	male	given name
702	Gerlach	Germanic	male	given name
703	Germanus		male	given name
704	Germes	unknown	male	given name
705	Germinus	Romance?	male	given name
706	Germiteus	unknown	male	given name
708	Gertrude	Germanic	female	given name
709	Gerontius	Latin	male	given name
710	Gebhard	Germanic	male	given name
711	Jeannot	Romance	male	given name
713	Garibert	Germanic	male	given name
715	Gherninus	Germanic?	male	given name
716	Gheymarus	Germanic?	male	given name
717	Gideon		male	given name
718	Gilbertus		male	given name
719	Willibald	Germanic	male	given name
720	Gilio	Romance	male	given name
721	Gilead	Semitic (Hebrew)	male	given name
722	Gillar	Romance	male	given name
723	Gillen	Romance	male	given name
724	Willimar	Germanic	male	given name
725	Gilvelinus	unknown	male	given name
727	Gilbert		male	given name
729	Gislin	Germanic	male	given name
730	Gismarus	Germanic?	male	given name
731	Gobelinus	Germanic and Latin	male	given name
732	Gobel	Germanic	male	given name
733	Gobertus		male	given name
734	Godehard	Germanic	male	given name
735	Godefridus		male	given name
736	Godenulfus	Germanic	male	given name
738	Godevolus	Germanic?	male	given name
739	Godefrid	Germanic	male	given name
740	Goditia	unknown	female	given name
741	Godulf	Germanic	male	given name
742	Godwaldus		male	given name
744	Golinus	Germanic?	male	given name
745	Gummarus	Germanic	male	given name
746	Gombert		gender-neutral	family name
747	Gomes	Germanic	male	given name
748	Gundulf	Germanic	male	given name
749	Gonelius	unknown	male	given name
750	Godesalnus		male	given name
751	Gonterus	Germanic?	male	given name
753	Gorgonius		male	given name
754	Goswinus		male	given name
755	Gotius		gender-neutral	family name
756	Gougin	unknown	male	given name
757	Gouricus	unknown	male	given name
758	Gouterus	Germanic	male	given name
759	Govaert	Germanic	male	given name
761	Gratianus	Latin	male	given name
762	Gratius	Latin	male	given name
763	Gregorios	Greek	male	given name
764	Griphius	Celtic?	male	given name
766	Grolinus	unknown	male	given name
767	Walerand	Germanic	male	given name
768	Guartinus	Germanic?	male	given name
769	Gugler	Germanic?	male	given name
770	Witbald	Germanic	male	given name
771	Gildard	Germanic	male	given name
772	Wilhelm	Germanic	male	given name
774	Guneon	unknown	male	given name
775	Gussardus	Germanic?	male	given name
776	Gustav	Germanic or Slavic	male	given name
777	Guviaco	unknown	male	given name
778	Gwinerus	unknown	male	given name
779	Gwinetus	unknown	male	given name
780	Habbin		gender-neutral	family name
781	Habbo	Germanic	male	given name
782	Hacchius	unknown	male	given name
783	Hacratus	unknown	male	given name
784	Hadelin	Germanic	male	given name
785	Hado	Germanic	male	given name
786	Haio	Germanic	male	given name
787	Hallinus	unknown	male	given name
788	Haloman	unknown	male	given name
789	Aimé		gender-neutral	family name
790	Hamundus		male	given name
791	Hannia	Germanic?	female	given name
792	Hannibal	Semitic (Punic)	male	given name
793	Hannius	Germanic?	male	given name
794	Hano	Germanic?	male	given name
795	Hardelstein	Germanic	male	given name
796	Harduinus		male	given name
797	Harring	Germanic	male	given name
798	Harlingen	Germanic	male	given name
799	Haroldus		male	given name
800	Hartheldus	Germanic?	male	given name
801	Hasbold	Germanic	male	given name
802	Hasselbecanus		male	given name
803	Haverus	unknown	male	given name
804	Haie	Germanic	male	given name
805	Haimo	Germanic	male	given name
806	Hayo	Germanic	male	given name
807	Hebricus	unknown	male	given name
808	Hector		male	given name
809	Heijdenricus	Germanic	male	given name
810	Hagiman	Germanic	male	given name
811	Hein	Germanic	male	given name
812	Helena		female	given name
813	Heliodoros	Greek	male	given name
814	Helico		male	given name
815	Hellinc	Germanic	male	given name
816	Helius		male	given name
817	Hellicop	Germanic?	male	given name
818	Hellinus		male	given name
819	Helman	Germanic	male	given name
820	Helmerich	Germanic	male	given name
821	Helmich	Germanic	male	given name
822	Helmont		male	given name
823	Helvericus	Germanic?	male	given name
824	Helvinus	Germanic?	male	given name
825	Helwig	Germanic	male	given name
826	Hemannus	unknown	male	given name
827	Hemmo		male	given name
828	Henantius	unknown	male	given name
829	Henestus		male	given name
830	Heningus		male	given name
831	Hennardus		male	given name
832	Henneus		male	given name
834	Henno		male	given name
835	Henorerus		male	given name
836	Heinrich	Germanic	male	given name
837	Haribald	Germanic	male	given name
838	Herbertus		male	given name
839	Herca		unknown	given name
840	Herco		male	given name
841	Hercules		male	given name
842	Herderus		male	given name
843	Herennius		male	given name
844	Heringius		male	given name
845	Herius		male	given name
846	Herman	Germanic	male	given name
847	Hermegardis	Germanic	female	given name
848	Ermelind	Germanic	female	given name
849	Hermes	Greek	male	given name
850	Herminos	Greek	male	given name
851	Heron	Greek	male	given name
852	Heroa		unknown	given name
854	Herringhus		male	given name
855	Herus		male	given name
856	Herwoldus		male	given name
857	Hesselius		male	given name
859	Heylweyis	Germanic	female	given name
860	Heylwildis	Germanic	female	given name
861	Hiddius		male	given name
862	Hieronymos	Greek	male	given name
863	Hilarius		male	given name
864	Hildebrand	Germanic	male	given name
865	Hildegardis	Germanic	female	given name
866	Hildericus		male	given name
867	Hilduardus		male	given name
868	Hilgerius		male	given name
869	Hiliannus		male	given name
870	Hilizeus		male	given name
871	Hilmannus		male	given name
872	Hilmerus		male	given name
873	Hilvinus		male	given name
874	Hiornata		unknown	given name
875	Hippolytos	Greek	male	given name
876	Hippolytus		male	given name
877	Hirivellus		male	given name
878	Hobbo		male	given name
880	Hodmannus		male	given name
881	Hoeghardus		male	given name
882	Hoito		male	given name
883	Hombertus		male	given name
884	Homerus		male	given name
885	Honestus		male	given name
886	Onnophrius	Egyptian	male	given name
887	Honoratus	Latin	male	given name
888	Honorius	Latin	male	given name
889	Hoquetus		male	given name
890	Horatius	Latin	male	given name
891	Hoterus		male	given name
892	Hoy		male	given name
893	Hoys		male	given name
894	Hoyto		male	given name
896	Hubert	Germanic	male	given name
897	Hucton		male	given name
898	Hueck		male	given name
900	Hugo		male	given name
901	Hulderic	Germanic	male	given name
902	Humandus		male	given name
903	Humannus		male	given name
904	Humfredus		male	given name
905	Hursinus		male	given name
907	Huyda		unknown	given name
909	Hyacinthos	Greek	male	given name
910	Hyacinthos	Greek	male	given name
911	Hyo		male	given name
912	Hypatius		male	given name
913	Ico		male	given name
914	Ida		female	given name
915	Idelhenricus		male	given name
916	Idesbald	Germanic	male	given name
917	Idesbardus		male	given name
918	Ido		male	given name
919	Idzardus		male	given name
920	Ignatius		male	given name
921	Igramus		male	given name
922	Ilduardus		male	given name
923	Illuminatus		male	given name
924	Imannus		male	given name
925	Imericus		male	given name
926	Imo		male	given name
927	Indomeus		male	given name
928	Engilram	Germanic	male	given name
929	Ingerandus		male	given name
930	Ingerranus		male	given name
931	Inghelrandus		male	given name
932	Ingrammus		male	given name
933	Innocentius		male	given name
934	Interdus		male	given name
935	Irenus		male	given name
936	Isaak	Semitic (Hebrew)	male	given name
937	Isabella		female	given name
938	Isaias		male	given name
939	Iscrandus		male	given name
940	Isebrand	Germanic	male	given name
941	Iselstein		male	given name
942	Isembardus		male	given name
943	Isembarius		male	given name
944	Isembordus		male	given name
945	Isenboldus		male	given name
946	Isidoros	Greek	male	given name
947	Islandus		male	given name
948	Ismannus		male	given name
949	Ismarus		male	given name
950	Israel		male	given name
951	Istinbarbus		male	given name
952	Iswinus		male	given name
953	Italius		male	given name
954	Ivan	Semitic (Hebrew)	male	given name
955	Ivinus		male	given name
956	Ivo		male	given name
960	Januarius		male	given name
961	Jaricus		male	given name
962	Jarrinus		male	given name
964	Jason		male	given name
965	Jelcherus		male	given name
966	Jennebrandus		male	given name
969	Jesophar		male	given name
970	Jesse		male	given name
971	Jhorin		male	given name
972	Joachim	Semitic (Hebrew)	male	given name
974	Job		male	given name
975	Joco		male	given name
976	Judocus		male	given name
978	Jois		male	given name
979	Jonas		male	given name
980	Jonathan		male	given name
981	Jordanus		male	given name
983	Jossanus		male	given name
984	Joshua	Semitic (Hebrew)	male	given name
985	Jouko		male	given name
986	Juda	Semitic (Hebrew)	male	given name
