308	Ingooigem	50.82013	3.43373	749
309	Isle-la-Hesse	50.0033	5.6761	749
310	Isnes	50.50611	4.72833	749
311	Izel	49.6939	5.3739	749
312	Jemappes	50.44914	3.89096	749
313	Jeneffe	50.3553	5.245	749
314	Jumet	42.958055555556	0.37583333333333	725
315	Kain	50.63869	3.39688	749
316	Kallo	51.2525	4.27546	749
317	Cambrai	50.76667	5.13333	0
318	Kampenhout	50.9421	4.55103	749
319	Kapelle-op-den-Bos	51.0097	4.36303	749
320	Kapellen			0
321	Kaprijke	51.2172	3.61519	749
322	Kassel			0
323	Kasteelbrakel	50.6799	4.27385	749
324	Kaster			0
325	Kasterlee	51.24118	4.96651	749
326	Kerkhove	50.79851	3.50267	749
327	Kermt	50.94757	5.24832	749
328	Kerry	52.16667	-9.75	307
329	Kesselre Elphin			307
330	Kevelaer	51.58243	6.24603	0
331	Kieldrecht	51.28914	4.17587	749
332	Klein-Vorsen	50.71814	5.14608	749
333	Koijl			0
334	Konde	46.8792	1.9862	0
335	Kontich	51.13213	4.44706	749
336	Kortrijk	50.82803	3.26487	749
337	Kraainem	50.86155	4.46946	749
338	Kruibeke	51.17048	4.31444	749
339	Kruishoutem	50.90168	3.52588	749
340	Kuilenburg	51.955	5.22778	748
341	Kwaadmechelen	51.10099	5.14478	749
342	La Herije			395
343	Laagnsdonck			0
344	Laar			0
345	Laatwijk	50.72461	4.82617	749
346	Lafelt	50.8286	5.6183	749
347	Lambusart	50.45433	4.55263	749
348	Landas			725
349	Landen	50.75267	5.082	749
350	Langemark	50.9131	2.91965	749
351	Langeron	46.811111111111	3.0841666666667	725
352	Latour	52.6864	4.9664	748
353	Le Rœulx	50.50365	4.11163	749
354	Le Thillot	47.87941	6.76279	725
355	Lebbeke	51.00464	4.13457	749
356	Lebecq			0
357	Lecelles	50.46779	3.40096	725
358	Lederzeele	50.82029	2.30237	725
359	Leefdaal	50.84759	4.58936	749
360	Leernes	50.39812	4.33239	749
361	Leitrim	54.11667	-8	307
362	Lens	50.431388888889	2.8325	725
363	Lens-Saint-Servais	50.66336	5.1551	749
364	Lessen	50.71104	3.83579	0
365	Lessenbos	50.69662	3.89613	749
367	Leuze	49.851388888889	4.1616666666667	725
368	Leval-Trahegnies	50.4213	4.22556	749
369	Lichtaart	51.22495	4.91681	749
370	Liek	50.71396	5.28133	749
372	Lier bij Maasland			0
373	Ligney	50.66181	5.18237	0
374	Ligny	50.5122	4.5667	749
375	Lille	50.63297	3.05858	0
376	Lillo	60.6825	10.82861111	0
377	Limburg			0
378	Limelette	50.68428	4.57186	749
380	Limont			395
381	Linkebeek	50.766666666667	4.3333333333333	749
382	Lismore	52.13667	-7.93083	307
383	Lodelinsart	50.43138	4.44886	749
384	Lokeren	51.1	3.9833333333333	749
385	Lomprez	50.07625	5.09142	749
386	Londerzeel	51.00468	4.30304	749
387	Londonderry	54.28493	-1.53916	307
388	Longueville	50.7031	4.7392	749
389	Loon op Zand	51.6275	5.075	748
390	Lubbeek	50.88278	4.83896	749
391	Lugano	46.01008	8.96004	9085
392	Liège	50.63373	5.56749	0
393	Lummen	50.98772	5.19121	749
394	Lupensis			0
395	Grand Duchy of Luxembourg	49.75	6.16667	0
396	Maarheeze	51.31167	5.61667	748
397	Maastricht	50.84833	5.68889	748
398	Mainvault	50.64908	3.71751	749
399	Maldegem	51.20737	3.44511	749
400	Malempré	50.28155	5.71444	749
401	Malèves-Sainte-Marie-Wastines	50.65736	4.77998	749
