169	Dormaal	50.8078	5.1	749		import from Matrikels2-0_PublicationVersion_20230816
170	Dublin	53.33306	-6.24889	307		import from Matrikels2-0_PublicationVersion_20230816
171	Duffel	51.09554	4.50903	749		import from Matrikels2-0_PublicationVersion_20230816
172	Duinkerke	51.0344	2.37681	725		import from Matrikels2-0_PublicationVersion_20230816
173	Duisburg	50.81584	4.55533	749		import from Matrikels2-0_PublicationVersion_20230816
174	Ebene			724		import from Matrikels2-0_PublicationVersion_20230816
175	Enghien	50.69375	4.03788	749		import from Matrikels2-0_PublicationVersion_20230816
176	Eeklo	51.18703	3.55654	749		import from Matrikels2-0_PublicationVersion_20230816
177	Eghezée	50.59076	4.91175	749		import from Matrikels2-0_PublicationVersion_20230816
178	Eigenbrakel	50.68363	4.36784	749		import from Matrikels2-0_PublicationVersion_20230816
179	Eindhout	51.10385	4.9999	749		import from Matrikels2-0_PublicationVersion_20230816
180	Eindhoven	51.44083	5.47778	748		import from Matrikels2-0_PublicationVersion_20230816
181	Eke	50.9569	3.6417	749		import from Matrikels2-0_PublicationVersion_20230816
182	Eksel	51.1531	5.3911	749		import from Matrikels2-0_PublicationVersion_20230816
183	Élesmes	50.30864	4.01052	725		import from Matrikels2-0_PublicationVersion_20230816
184	Élouges	50.40245	3.75175	749		import from Matrikels2-0_PublicationVersion_20230816
185	Elverdinge	50.88476	2.8171	749		import from Matrikels2-0_PublicationVersion_20230816
186	Elzele	50.73512	3.67985	749		import from Matrikels2-0_PublicationVersion_20230816
187	Émondeville	49.45905	-1.34309	725		import from Matrikels2-0_PublicationVersion_20230816
188	Epinois	50.406	4.20666	749		import from Matrikels2-0_PublicationVersion_20230816
189	Erbaut	50.53262	3.88384	749		import from Matrikels2-0_PublicationVersion_20230816
190	Ere	50.58226	3.36765	749		import from Matrikels2-0_PublicationVersion_20230816
191	Erpe	50.93565	3.97219	749		import from Matrikels2-0_PublicationVersion_20230816
192	Erpion	50.21188	4.35562	749		import from Matrikels2-0_PublicationVersion_20230816
193	Éterpigny			725		import from Matrikels2-0_PublicationVersion_20230816
194	Etikhove	50.81162	3.62489	749		import from Matrikels2-0_PublicationVersion_20230816
195	Eupen	50.6279	6.03647	749		import from Matrikels2-0_PublicationVersion_20230816
196	Everbeek	50.7626	3.80852	749		import from Matrikels2-0_PublicationVersion_20230816
197	Felleries	50.14719	4.03322	725		import from Matrikels2-0_PublicationVersion_20230816
198	Feluy	50.56258	4.25098	749		import from Matrikels2-0_PublicationVersion_20230816
199	Fenal			0		import from Matrikels2-0_PublicationVersion_20230816
200	Ferrières			0		import from Matrikels2-0_PublicationVersion_20230816
201	Flers			725		import from Matrikels2-0_PublicationVersion_20230816
202	Florennes	50.25127	4.60636	749		import from Matrikels2-0_PublicationVersion_20230816
203	Fontaine-L'Évêque	50.40907	4.32427	749		import from Matrikels2-0_PublicationVersion_20230816
204	Frameries	50.40578	3.89603	749		import from Matrikels2-0_PublicationVersion_20230816
205	Francourt	47.65025	5.74384	725		import from Matrikels2-0_PublicationVersion_20230816
206	Franeker	53.18546	5.54123	748		import from Matrikels2-0_PublicationVersion_20230816
207	Frasnes-lez-Buissenal	50.66783	3.62047	749		import from Matrikels2-0_PublicationVersion_20230816
208	Frasnes	46.855555555556	6.1597222222222	725	Same as Frasnes-lez-Buissenal Place 207?	import from Matrikels2-0_PublicationVersion_20230816
210	Froidchapelle	50.15106	4.32742	749		import from Matrikels2-0_PublicationVersion_20230816
211	Fumay	49.99132	4.70771	725		import from Matrikels2-0_PublicationVersion_20230816
212	Gages			749		import from Matrikels2-0_PublicationVersion_20230816
213	Galmaarden	50.75389	3.97121	749		import from Matrikels2-0_PublicationVersion_20230816
214	Gastel	51.28583	5.55556	748		import from Matrikels2-0_PublicationVersion_20230816
215	Geel	51.16557	4.98917	749		import from Matrikels2-0_PublicationVersion_20230816
216	Geertruidenberg	51.70167	4.85694	748		import from Matrikels2-0_PublicationVersion_20230816
217	Geetbets	50.89431	5.11199	749		import from Matrikels2-0_PublicationVersion_20230816
218	Geldenaken	50.72357	4.86914	749		import from Matrikels2-0_PublicationVersion_20230816
